"product_id","product_name","category","discounted_price","actual_price","discount_percentage","rating","rating_count","review_title"
"B086JTMRYL","ESR USB C to Lightning Cable, 10 ft (3 m), MFi-Certified, Braided Nylon Power Delivery Fast Charging for iPhone 14/14 Plus/14 Pro/14 Pro Max, iPhone 13/12/11/X/8 Series, Use with Type-C Chargers, Black","Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables",1519,1899,0.2,4.4,19763,"Go for it,Fast charging,Good product,Good,So Far So Good,Quality is good <U+0001F44D> you can go for it <U+2665><U+FE0F>,Excellent Product,Yup good in all over"
"B00OFM6PEO","Storite USB Extension Cable USB 3.0 Male to Female Extension Cable High Speed 5GBps Extension Cable Data Transfer for Keyboard, Mouse, Flash Drive, Hard Drive, Printer and More- 1.5M - Blue","Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables",296,799,0.63,4.3,1902,"Works perfect for connecting my Dslr to ipad & tethering. Seems like a durable cable,H,GOOD,USB,Supar,It's good,Very good cable,Okaysih"
"B0B5B6PQCT","boAt Wave Call Smart Watch, Smart Talk with Advanced Dedicated Bluetooth Calling Chip, 1.69” HD Display with 550 NITS & 70% Color Gamut, 150+ Watch Faces, Multi-Sport Modes,HR,SpO2, IP68(Active Black)","Electronics|WearableTechnology|SmartWatches",1998,7990,0.75,3.8,17831,"Not Polished Enough. (Improving with updates),Best for the budget <U+0001F44D>,Value of money,nice product,Good product,Super value for money,Awesome product,Product itv"
"B08HV83HL3","MI Power Bank 3i 20000mAh Lithium Polymer 18W Fast Power Delivery Charging | Input- Type C | Micro USB| Triple Output | Sandstone Black","Electronics|Mobiles&Accessories|MobileAccessories|Chargers|PowerBanks",2045,2199,0.07,4.3,178912,"Ok product to buy,Better than any other power banks,<U+0001F44D>,Nice product,Performance is OK,Very Slim & easy to carry,Decent product,GOAT"
"B0BBN4DZBD","Redmi A1 (Light Blue, 2GB RAM, 32GB Storage) | Segment Best AI Dual Cam | 5000mAh Battery | Leather Texture Design | Android 12","Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones",6479,8999,0.28,4,7807,"If you leave it only to make calls or receive calls, then it is a completely useless phone.,Readmi a 1,Budget friendly phone.,Hi,Budget phone,Good for the price. But ANDROID 12 is actually GO Edition.,Good budget phone,10/10 value for money <U+0001F911>"
"B0BBN56J5H","Redmi A1 (Black, 2GB RAM, 32GB Storage) | Segment Best AI Dual Cam | 5000mAh Battery | Leather Texture Design | Android 12","Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones",6479,8999,0.28,4,7807,"If you leave it only to make calls or receive calls, then it is a completely useless phone.,Readmi a 1,Budget friendly phone.,Hi,Budget phone,Good for the price. But ANDROID 12 is actually GO Edition.,Good budget phone,10/10 value for money <U+0001F911>"
"B0BBN3WF7V","Redmi A1 (Light Green, 2GB RAM 32GB ROM) | Segment Best AI Dual Cam | 5000mAh Battery | Leather Texture Design | Android 12","Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones",6479,8999,0.28,4,7807,"If you leave it only to make calls or receive calls, then it is a completely useless phone.,Readmi a 1,Budget friendly phone.,Hi,Budget phone,Good for the price. But ANDROID 12 is actually GO Edition.,Good budget phone,10/10 value for money <U+0001F911>"
"B0BDRVFDKP","SanDisk Ultra® microSDXC™ UHS-I Card, 64GB, 140MB/s R, 10 Y Warranty, for Smartphones","Electronics|Accessories|MemoryCards|MicroSD",570,1000,0.43,4.4,67259,"Fake Product,Costly but excellent quality,Storage good but don't know how to Activate warantee??,Good for use,5 stas nahi diya kyuki capacity 477gb hi rahta hai,Speed not as advertise,Good one,It's ok"
"B0B5LVS732","Noise Pulse Go Buzz Smart Watch Bluetooth Calling with 1.69"" Display, 550 NITS, 150+ Cloud Watch Face, SPo2, Heart Rate Tracking, 100 Sports Mode with Auto Detection, Longer Battery (Jet Black)","Electronics|WearableTechnology|SmartWatches",1900,4999,0.62,4.1,10689,"Sumit Nath,For the price, it is a good purchase but can be better,Happy with product...,It's really smart with elegant design,Amazing,Noise,All good,Good"
"B09V2Q4QVQ","Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio | Charcoal","Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|BasicMobiles",1295,1599,0.19,4,128311,"Centre key,Nice phone,Good for Exam preparing students,Center button is not good,Battery runs out quickly,Nokia trusted brand only needs to improve ringtone sound,best phone,.."
